地名,センター,可燃ごみ,不燃ごみ,資源
上原1丁目,センター,水 土,月2 月4,火
上原2 3丁目,センター,水 土,火1 火3,月
鶯谷町,センター,水 土,月1 月3,火
宇田川町,センター,水 土,月1 月3,火
恵比寿1 2丁目,センター,月 木,金1 金3,土
恵比寿3 4丁目,センター,月 木,土1 土3,金
恵比寿西1 2丁目,センター,月 木,土1 土3,金
恵比寿南1～3丁目,センター,月 木,土1 土3,金
大山町,センター,水 土,火2 火4,月
神山町,センター,水 土,火1 火3,月
桜丘町,センター,水 土,月1 月3,火
笹塚1丁目（52～64を除く）,センター,水 土,火2 火4,月
笹塚1丁目52～64、2 3丁目,センター,月 木,金2 金4,土
猿楽町,センター,水 土,月1 月3,火
渋谷1～4丁目,センター,火 金,木1 木3 *1,水 *1
松濤1 2丁目,センター,水 土 *2,月1 月3 *2,火 *2
神泉町,センター,水 土 *2,月1 月3 *2,火 *2
神宮前1～4丁目、6丁目,センター,火 金,水1 水3,木
神宮前5丁目,センター,火 金,木1 木3,水
神南1丁目,センター,水 土,月1 月3,火
千駄ヶ谷1～4丁目,センター,火 金,水1 水3,木
千駄ヶ谷5 6丁目,センター,火 金,水2 水4,木
代官山町,センター,水 土,月1 月3,火
富ヶ谷1 2丁目,センター,水 土,火1 火3,月
道玄坂1丁目 2丁目1～10,センター,水 土,月2 月4,火
道玄坂2丁目（1～10を除く）,センター,月 木,金1 金3,土
南平台町,センター,水 土,月1 月3,火
西原1～3丁目,センター,水 土,火2 火4,月
幡ヶ谷1丁目,センター,水 土,火2 火4,月
幡ヶ谷2丁目,センター,火 金,水2 水4,木
幡ヶ谷3丁目,センター,月 木,金2 金4,土
鉢山町,センター,水 土,月1 月3,火
初台1 2丁目,センター,水 土,月2 月4,火
東1～4丁目,センター,火 金,木1 木3,水
広尾1～5丁目,センター,月 木,金1 金3,土
本町1丁目,センター,火 金,水2 水4,木
本町2～6丁目,センター,月 木,土2 土4,金
元代々木町,センター,水 土,月2 月4,火
円山町,センター,月 木,金2 金4,土
代々木1～3丁目、4丁目（8を除く）,センター,火 金,木2 木4,水
代々木4丁目8、5丁目57～68,センター,水 土,火1 火3,月
代々木5丁目（57～68を除く）,センター,水 土,月2 月4,火
代々木神園町,センター,水 土,火1 火3,月
